search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
researcher,Security Researcher,Microsoft,"New York, United States (Remote)","New York, United States",2 weeks ago,"$81,900/yr - $174,600/yr (from job description)","['$81.9K/yr - $174.6K/yr', 'Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Anomaly Detection', 'Computer Science', 'Cybersecurity', 'Information Security', 'Malware Analysis', 'Originating', 'Penetration Testing', 'Reverse Engineering', 'Security Protocols', 'Vulnerability Assessment', 'Analytical Skills', 'Leadership', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Customer Service', 'Linux', 'Network Security', 'Problem Solving']"
researcher,Research Analyst,City of Austin,"Austin, TX (On-site)","Austin, TX",2 weeks ago,$25.74/hr (from job description),"['$25.74/hr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Analytical Skills', 'Data Analysis', 'Analytics', 'Communication', 'Data Analytics', 'Organization Skills', 'Presentations', 'Problem Solving', 'Workload Prioritization', 'Written Communication', 'Leadership', 'Microsoft PowerPoint', 'Statistical Data Analysis', 'ADMS', 'Environmental, Social, and Governance (ESG)', 'IEC 61850', 'SQL', 'Stakeholder Management', 'Utility Industry']"
researcher,Junior Researcher (Mandarin/English),Jerry,"San Francisco, CA (Remote)","San Francisco, CA",2 weeks ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Legal Research', 'Attention to Detail', 'Bilingual Communications', 'Mandarin', 'Negotiation', 'Organization Skills', 'Research Skills', 'State Laws', 'Written Communication', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Project Management', 'Teamwork']"
researcher,RESEARCH FELLOW,Michigan Medicine,"Ann Arbor, MI (Hybrid)","Ann Arbor, MI",Reposted 3 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Clinical Psychology', 'E-Prime', 'Fingerprinting', 'Manuscript', 'Molecular Biology', 'Neuroimaging', 'Polymerase Chain Reaction (PCR)', 'Presentations', 'Research Methods', 'Writing', 'Data Analysis', 'English', 'Leadership', 'Microsoft Office', 'Teaching', 'Communication', 'Medicine', 'Research Skills', 'Statistics', 'Teamwork']"
researcher,Temporary Research Operations Intern,University of Chicago,"Chicago, IL (On-site)","Chicago, IL",5 months ago,$17/hr - $20/hr (from job description),"['$17/hr - $20/hr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Internship']","['Google Sheets', 'Attention to Detail', 'Communication', 'Google Slides', 'Literature Reviews', 'Organization Skills', 'Problem Solving', 'Training Material', 'Written Communication', 'Zotero', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Public Speaking', 'Research Skills', 'Strategy', 'Teamwork', 'Training']"
researcher,Quantitative Researcher - Intern,Point72,"New York, United States (On-site)","New York, United States",Reposted 1 year ago,"$120,000/yr - $180,000/yr (from job description)","['$120K/yr - $180K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Analytical Skills', 'C#', 'Communication', 'Computer Science', 'Java', 'MATLAB', 'Predictive Modeling', 'Quantitative Analytics', 'Quantitative Research', 'R (Programming Language)', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'C++', 'Machine Learning', 'SQL']"
researcher,(Remote) Research Associate - Institute for Community and Rural Health,West Virginia University,"Morgantown, WV (Remote)","Morgantown, WV",Reposted 1 week ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Research Projects', 'Data Analytics', 'Data Collection', 'Data Interpretation', 'Literature Reviews', 'Organization Skills', 'Presentations', 'Reporting Requirements', 'Statistical Analysis', 'Theming', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Communication', 'Public Speaking', 'Qualitative Research', 'Quantitative Research', 'Research Skills']"
researcher,Postdoctoral Researcher,Caltech,"Pasadena, CA (On-site)","Pasadena, CA",3 months ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Biophysics', 'Fluorescence Microscopy', 'Gene Regulation', 'Genome Editing', 'Molecular Cloning', 'Programming', 'Protein Purification', 'Proteomics', 'Real-Time Polymerase Chain Reaction (qPCR)', 'Western Blotting', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Biochemistry', 'Cell Culture', 'Communication', 'Molecular Biology', 'Polymerase Chain Reaction (PCR)', 'Research Skills']"
researcher,"Student Researcher, BS/MS, Fall 2024",Google,"New York, NY (On-site)","New York, NY",3 months ago,"$90,000/yr - $118,000/yr (from job description)","['$90K/yr - $118K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Internship\nMatches your job preferences, job type is Internship.']","['Natural Language Processing (NLP)', 'Applied Mathematics', 'Communication', 'Computer Science', 'Data Science', 'Easily Adaptable', 'Intelligent Systems', 'Mathematics', 'Quantum Information', 'Research Skills', 'Data Analysis', 'Python (Programming Language)', 'JavaScript', 'Machine Learning', 'Problem Solving', 'Project Management', 'SQL', 'Teamwork']"
researcher,Entry-Level Quantitative Researcher,Point72,"New York, United States (Hybrid)","New York, United States",1 year ago,"$150,000/yr - $200,000/yr (from job description)","['$150K/yr - $200K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Data Analysis', 'Python (Programming Language)', 'Backtesting', 'Computer Science', 'Data Analytics', 'Data Science', 'Quantitative Analytics', 'Quantitative Finance', 'Quantitative Research', 'SQL', 'Analytical Skills', 'Microsoft Excel', 'Microsoft Office', 'Communication', 'Machine Learning', 'R (Programming Language)', 'Research Skills']"
researcher,In-House Research Fellow,Siegel Family Endowment,"New York, NY (On-site)","New York, NY",3 months ago,"$80,000/yr (from job description)","['$80K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Communication', 'Communication Training', 'Literature Reviews', 'Molecular Biology', 'Oral Communication', 'Original Research', 'Polymerase Chain Reaction (PCR)', 'Presentations', 'Problem Solving', 'Research Dissemination', 'Case Studies', 'Customer Service', 'Interpersonal Skills', 'Investment Advisory Services', 'Investment Banking', 'Microsoft Suites', 'Qualitative Research', 'Research Skills', 'Strategy', 'Wealth Management Services']"
researcher,Research Specialist GIS,University of Pennsylvania,"Philadelphia, PA (On-site)","Philadelphia, PA",Reposted 1 month ago,"$43,888/yr - $65,000/yr (from job description)","['$43.9K/yr - $65K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Databases', 'Research Projects', 'Biostatistics', 'Data Analytics', 'Data Collection', 'Geographic Information Systems (GIS)', 'Laboratory Information Management System (LIMS)', 'Spatial Data', 'Spatial Epidemiology', 'Statistical Software', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'ArcGIS Products', 'Communication', 'R (Programming Language)', 'Research Skills', 'SQL']"
researcher,"Analyst, Research",Obra Capital,"Montpelier, VT (On-site)","Montpelier, VT",Reposted 2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Analytical Skills', 'Communication', 'Market Research', 'Presentations', 'Project Management', 'Qualitative Research', 'Quantitative Research', 'Secondary Research', 'Statistics', 'Summaries', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Financial Analysis', 'Problem Solving', 'SQL']"
researcher,Research Area Specialist,University of Michigan,"Ann Arbor, MI (On-site)","Ann Arbor, MI",2 weeks ago,"$54,149/yr - $66,890/yr","['$54.1K/yr - $66.9K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Data Analysis', 'Biostatistics', 'Data Analytics', 'Epidemiology', 'IT Documentation', 'Organization Skills', 'Public Health Surveillance', 'Quality Assurance', 'Timelines', 'Workload Prioritization', 'Analytical Skills', 'Microsoft Office', 'Communication', 'Critical Thinking', 'Customer Service', 'Problem Solving', 'Research Skills', 'Teamwork', 'Written Communication']"
researcher,RESEARCH FELLOW,Michigan Medicine,"Ann Arbor, MI (Hybrid)","Ann Arbor, MI",Reposted 2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Algorithms', 'Free Thinking', 'Laboratory Techniques', 'Molecular Biology', 'Next-Generation Sequencing (NGS)', 'Sequencing', 'Shell Scripting', 'Software Development Tools', 'Statistical Inference', 'Unix', 'Clinical Research', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'Bioinformatics', 'Cell Biology', 'Data Visualization', 'Research Skills', 'SQL']"
researcher,"Summer 2025 Intern, Stress Testing- Research, Modeling, and Analysis - Division of Supervision and Regulation",Federal Reserve Board,"Washington, DC","Washington, DC",2 weeks ago,"$50,600/yr - $68,900/yr (from job description)","['$50.6K/yr - $68.9K/yr', 'Internship\nMatches your job preferences, job type is Internship.', 'Internship']","['Stata', 'Capital Adequacy', 'Communication', 'Dodd-Frank', 'Financial Data', 'Market Risk', 'Quantitative Analytics', 'RMA', 'Statistics', 'Stress Testing', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Python (Programming Language)', 'Customer Service', 'R (Programming Language)', 'Research Skills', 'SQL', 'Teamwork']"
researcher,"Quantitative Research Intern, Bachelor’s or Master’s Degree",Optiver,"Austin, TX (On-site)","Austin, TX",Reposted 6 days ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Internship\nMatches your job preferences, job type is Internship.', 'Internship']","['Financial Instruments', 'Independent Research', 'Market Microstructure', 'Mathematics', 'Programming', 'Quantitative Analytics', 'Quantitative Finance', 'Quantitative Research', 'Statistics', 'Trading Strategies', 'Data Analysis', 'Microsoft Excel', 'Python (Programming Language)', 'C++', 'Communication', 'Java', 'Machine Learning', 'Problem Solving', 'R (Programming Language)', 'SQL']"
researcher,Hiring Immediately! Graduate Program,EF English First,"Fort Worth, TX (On-site)","Fort Worth, TX",1 potential applicant,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Microsoft Office', 'Attention to Detail', 'Communication', 'Creativity and Innovation', 'Easily Adaptable', 'Networking', 'Problem Solving', 'Project Management', 'Team Collaboration', 'Teamwork', 'A/B Testing', 'ANOVA', 'Computational Linguistics', 'Customer Service', 'Daily Reports', 'Data Modeling', 'End to End Recruiting', 'Human Factors', 'Parent-Teacher Communication', 'Team Development']"
researcher,Research Specialist I,University of Missouri-Columbia,"Columbia, MO (On-site)","Columbia, MO",2 days ago,$16.72/hr - $29.10/hr (from job description),"['$16.72/hr - $29.10/hr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Cell Culture', 'Communication', 'Confidentiality', 'Critical Thinking', 'Molecular Biology', 'Molecular Imaging', 'Organization Skills', 'Pattern Recognition', 'Polymerase Chain Reaction (PCR)', 'Small Animal Imaging', 'Spreadsheets', 'Artificial Intelligence (AI)', 'Attention to Detail', 'Data Modeling', 'Data Pipelines', 'Genetics', 'Molecular Genetics', 'Node.js', 'Research Skills', 'Sustainable Agriculture']"
researcher,Part-time Research Support Position,Penn State University,"University Park, PA (On-site)","University Park, PA",0 potential applicants,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Part-time\nMatches your job preferences, job type is Part-time.', 'Entry level']","['Cell Culture', 'Communication', 'Core Strength', 'Data Privacy', 'Fire Safety', 'Molecular Biology', 'Polymerase Chain Reaction (PCR)', 'Qualitative Research', 'Security Policy', 'Teamwork']"
