search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
consulting,Columbia Basin Bilingual Business Advisors,Center for Inclusive Entrepreneurship,"Othello, WA (Hybrid)","Othello, WA",1 day ago,$30.05/hr - $32.45/hr,"['$30.05/hr - $32.45/hr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Business Planning', 'Business Process', 'Business Process Improvement', 'Coaching', 'Communication', 'Finance', 'Management Consulting', 'Negotiation', 'Teamwork', 'Training', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Customer Service', 'Fashion Buying', 'Management', 'R (Programming Language)', 'Recruiting', 'Spanish']"
consulting,"Senior Associate, Consulting",District Management Group,"Boston, MA (Hybrid)","Boston, MA",1 month ago,"$85,000/yr - $95,000/yr","['$85K/yr - $95K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytic Problem Solving', 'Easily Adaptable', 'Problem Solving', 'Public Education', 'Public Schools', 'Qualitative Analysis', 'Quantitative Analytics', 'Relationship Development', 'Teamwork', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Communication', 'Project Management', 'Public Speaking', 'Research Skills']"
consulting,"Associate, Consulting",District Management Group,"Boston, MA (Hybrid)","Boston, MA",2 months ago,"$60,000/yr - $80,000/yr","['$60K/yr - $80K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Data Analysis', 'Communication', 'Problem Solving', 'Project Management', 'Public Education', 'Public Schools', 'Qualitative Analysis', 'Quantitative Analytics', 'Teamwork', 'Time Management', 'Analytical Skills', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Research Skills']"
consulting,Associate Consultant,Moran Consultants,"Baton Rouge, LA (On-site)","Baton Rouge, LA",2 weeks ago,"$60,000/yr - $70,000/yr","['$60K/yr - $70K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Commercial Construction', 'Construction Management', 'Project Management', 'Self-Motivation', 'Teamwork', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Communication', 'Customer Service', 'Problem Solving']"
consulting,Business Lead: Parametric Insurance Programs,Floodbase,"Brooklyn, NY (Hybrid)","Brooklyn, NY",4 months ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Change Management', 'Complex Sales', 'Deals', 'Market Requirements Documents', 'New Business Opportunities', 'New Product Rollout', 'Product Promotion', 'Sales Strategy', 'Sales Target Management', 'Strategic Consulting', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Communication', 'Management', 'Project Management', 'Research Skills']"
consulting,Senior Consultant - Grants,"Akela, LLC","Gambrills, MD (Hybrid)","Gambrills, MD",0 potential applicants,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Business Process Improvement', 'Communication', 'Marketing', 'Negotiation', 'Presentation Skills', 'Presentations', 'Project Management', 'Research Skills', 'Streamlining']"
consulting,Closing Consultant,CapCenter,"Richmond, VA (On-site)","Richmond, VA",2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'English', 'Consulting', 'Marketing', 'Negotiation', 'Public Speaking', 'Research Skills', 'Team Leadership', 'Teamwork', 'Training', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Communication', 'Customer Service', 'Problem Solving', 'Sales']"
consulting,VP – Global Business Development (Market Research & Insight Industry),Naftal Consulting,Greater Chicago Area (Hybrid),Greater Chicago Area,2 days ago,"$170,000/yr - $200,000/yr (from job description)","['$170K/yr - $200K/yr', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Business Development', 'Consumer Insight', 'New Business Development', 'Qualitative Research', 'Quantitative Research', 'Sales', 'Leadership', 'Business Strategy', 'Management', 'Marketing', 'Marketing Strategy', 'Project Management', 'Strategic Planning', 'Strategy']"
consulting,"Manager, Financial Consulting",Fortune 500 Companies (Various),"Houston, TX (Hybrid)","Houston, TX",2 days ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Auditing', 'Big Four Accounting Firms', 'Certified Public Accounting', 'Client Relations', 'Corporate Accounting', 'Finance', 'Financial Advisory', 'Financial Consulting', 'Financial Statements', 'VBA Excel', 'Analytical Skills', 'Leadership', 'Microsoft Excel', 'Accounting', 'Budgeting', 'Financial Analysis', 'Financial Reporting', 'Management', 'Project Management']"
consulting,Senior Consultant,M. Gale,"Fort Worth, TX (Hybrid)","Fort Worth, TX",3 months ago,"$115,000/yr - $125,000/yr","['$115K/yr - $125K/yr + Bonus, Profit sharing', 'Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Communication', 'Consulting', 'Fundraising', 'Fundraising Campaign Management', 'Management Consulting', 'Nonprofit Organizations', 'Presentation Skills', 'Project Management', 'Research Skills', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Customer Service', 'Management', 'Public Speaking', 'Strategic Planning']"
consulting,Management Consultant - Finance & Accounting Focus,"MMC Consulting, Inc.",Greater Minneapolis-St. Paul Area (On-site),Greater Minneapolis-St. Paul Area,3 months ago,"$110,000/yr - $140,000/yr (from job description)","['$110K/yr - $140K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Accounting', 'Certified Public Accounting', 'Facilitation', 'Financial Leadership', 'Income Statements', 'Industry standards', 'Management Consulting', 'Skill Development', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Microsoft PowerPoint', 'Communication', 'Problem Solving', 'Project Management', 'Teamwork']"
consulting,Consulting Director - Finance & Accounting Focus,"MMC Consulting, Inc.",Greater Minneapolis-St. Paul Area (On-site),Greater Minneapolis-St. Paul Area,Reposted 3 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Accounting', 'Certified Public Accounting', 'Compensation', 'Employee Benefits', 'Expense Analysis', 'Finance', 'Financial Regulations', 'General Accounts', 'Operations', 'System Implementations', 'Analytical Skills', 'Leadership', 'Budgeting', 'Financial Analysis', 'Financial Modeling', 'Financial Reporting', 'Management', 'Strategic Planning']"
