search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
data analyst,Data Analyst,Koroseal Interior Products,"Fairlawn, OH (On-site)","Fairlawn, OH",5 days ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Analytics', 'Business Insights', 'Communication', 'Data Analysis', 'Data Analytics', 'Data Interpretation', 'Data Science', 'Problem Solving', 'Visualization', 'Written Communication']"
data analyst,Operations Data Analyst (VP),Citi,"New York, NY (Hybrid)","New York, NY",Reposted 4 days ago,0,"['Hybrid', 'Full-time']","['Acceptance Testing', 'Communication', 'Data Analytics', 'Data Transmission', 'Embraces Change', 'Enterprise Solution Design', 'Focal Point', 'GL', 'New GL', 'User Acceptance Testing']"
data analyst,2025 Summer Intern - Data Analyst (Remote),Brighthouse Financial,"Charlotte, NC","Charlotte, NC",6 days ago,0,"['Internship', 'Internship']","['Actuarial Science', 'Alteryx', 'Analytical Skills', 'Communication', 'Data Analysis', 'Data Extraction', 'Data Science', 'Data Visualization', 'Mathematics', 'Statistics']"
data analyst,Stage Data Analytics,Cerved,"Milano, TX (Hybrid)","Milano, TX",Reposted 2 weeks ago,0,"['Hybrid', 'Full-time', 'Entry level']","['Analytical Skills', 'Analytics', 'Big Data', 'Data Analytics', 'Data Management', 'Data Modeling', 'Data Science', 'Data Visualization', 'IBM SPSS', 'Microsoft PowerPoint']"
data analyst,Entry Level - Research Data Analyst (Remote) Immediate,Pizzaservice Italia 2000,"Des Moines, IA (Remote)","Des Moines, IA",1 applicant,0,"['Remote', 'Part-time', 'Entry level']","['Analytical Skills', 'Communication', 'Data Analytics', 'Data Collection', 'Data Research', 'Data Science', 'Interpersonal Skills', 'Market Research', 'Statistics', 'Written Communication']"
data analyst,Data Analyst – Digital Analytics,Softrams,"Chicago, IL (Remote)","Chicago, IL",2 days ago,0,"['Remote', 'Full-time', 'Mid-Senior level']","['Application Development', 'Business Systems', 'Business Systems Analysis', 'Data Analysis', 'Data Analytics', 'Data Science', 'Public Trust', 'Statistical Analysis', 'Systems Analysis', 'Web Analytics']"
data analyst,Data Governance Analyst,Stratus,"Toledo, Ohio Metropolitan Area (Hybrid)","Toledo, Ohio Metropolitan Area",Over 100 applicants,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Analytics', 'Data Governance', 'Data Management', 'Data Privacy', 'Data Quality', 'Enterprise Data', 'Property and Casualty Insurance']"
data analyst,Data Analyst-NY,ATC,"New York, United States (On-site)","New York, United States",Over 100 applicants,0,"['On-site', 'Full-time', 'Entry level']","['Analytical Skills', 'Business Analysis', 'Business Requirements', 'Data Analysis', 'Documentation', 'Product Service', 'Requirements Gathering', 'Software Development Life Cycle (SDLC)', 'Use Cases', 'User Stories']"
data analyst,"IT Data Analyst, Consultant",Blue Shield of California,"California, United States (Hybrid)","California, United States",Reposted 1 day ago,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Communication', 'Datasets', 'Managed Care', 'Programming', 'Reliability', 'SAS (Software)', 'SAS Certified Base Programmer', 'SQL', 'Social Sciences', 'Statistical Graphics']"
data analyst,Data Analyst (Fixed Income Analytics),Iris Software Inc.,"Irving, TX (Hybrid)","Irving, TX",1 day ago,0,"['Hybrid', 'Contract', 'Associate']","['Analytical Skills', 'Asset-Backed Securities (ABS)', 'Collateralized Debt Obligations (CDO)', 'Financial Data Analytics', 'Fixed Income Analysis', 'Intex', 'Mortgage-Backed Securities (MBS)', 'Python (Programming Language)', 'SQL']"
data analyst,Data Analyst,Kforce Inc,"Minneapolis, MN (Hybrid)","Minneapolis, MN",5 days ago,$48/hr - $54.24/hr,"['$48/hr - $54.24/hr', 'Hybrid', 'Contract', 'Associate']","['Analytical Skills', 'Analytics', 'Attention to Detail', 'Communication', 'Confluence', 'Data Analytics', 'Data Visualization', 'Databases', 'Organization Skills', 'Problem Solving']"
data analyst,Business Intelligence Data Analyst,The Mom Project,"Sunnyvale, CA (Hybrid)","Sunnyvale, CA",6 days ago,0,"['Hybrid', 'Contract', 'Entry level']","['Analytics', 'Computer Science', 'Creative Problem Solving', 'Data Analysis', 'Data Analytics', 'Presentations', 'Problem Solving', 'Snowflake', 'Snowflake Cloud', 'User Documentation']"
data analyst,Data Analyst,VeeAR Projects Inc.,"Sunnyvale, CA (Hybrid)","Sunnyvale, CA",Reposted 2 days ago,$50/hr - $65/hr,"['$50/hr - $65/hr', 'Hybrid', 'Contract', 'Mid-Senior level']","['Data Analytics', 'Data Visualization', 'Python (Programming Language)', 'SQL', 'Tableau']"
data analyst,Data Analyst,RightClick,"Middlesex County, MA (Hybrid)","Middlesex County, MA",5 days ago,Up to $80/hr,"['Up to $80/hr', 'Hybrid', 'Full-time']","['Python (Programming Language)', 'R (Programming Language)']"
data analyst,Data Analyst,Apex Systems,"Dahlgren, VA (Hybrid)","Dahlgren, VA",5 days ago,0,"['Hybrid', 'Contract', 'Mid-Senior level']","['Data Warehousing', 'Database Management System (DBMS)', 'IBM Cognos Analytics']"
data analyst,Business Data Analyst,Insurify,"Cambridge, MA (Hybrid)","Cambridge, MA",3 months ago,0,"['Hybrid', 'Full-time', 'Entry level']","['Business Analysis', 'Communication', 'Data Analysis', 'Data Analytics', 'Data Modeling', 'Data Science', 'Data Visualization', 'Databases', 'Pivot Tables', 'Statistics']"
data analyst,Quantitative Researcher,Quantbox Research,"Chicago, IL (On-site)","Chicago, IL",Reposted 1 week ago,0,"['On-site', 'Full-time']","['Communication', 'Computer Science', 'Economics', 'KDB+', 'Mathematics', 'Python (Programming Language)', 'Quantitative Analytics', 'Quantitative Finance', 'Quantitative Research', 'Statistics']"
