search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
marketing,"Assistant Manager, Digital Visual Merchandising",adidas,"Portland, OR (On-site)","Portland, OR",1 week ago,0,"['On-site', 'Full-time']","['Activations', 'Campaign Execution', 'Consumer Behavior', 'Marketing Activation', 'Merchandising', 'Presentations', 'Solution-oriented', 'Transparency', 'Untangle', 'Visual Merchandising']"
marketing,Campaign Manager,Financial Times,"New York, NY (Hybrid)","New York, NY",6 days ago,0,"['Hybrid', 'Full-time', 'Entry level']","['Advertising', 'Advertising Campaigns', 'Advertising Operations', 'Attention to Detail', 'Campaigns', 'Communication', 'Google Docs', 'Key Performance Indicators', 'Marketing Campaign Management', 'Optimization']"
marketing,Digital Marketing Analyst,Doner,"Southfield, MI (On-site)","Southfield, MI",2 weeks ago,0,"['On-site', 'Full-time', 'Mid-Senior level']","['Python (Programming Language)', 'R (Programming Language)', 'Analytics', 'Dashboards', 'Digital Marketing', 'Digital Marketing Analytics', 'Microsoft Azure', 'SQL']"
marketing,Developer Marketing Manager,Meta,"New York, NY","New York, NY",Reposted 1 week ago,"$122,000/yr - $176,000/yr","['$122K/yr - $176K/yr', 'Full-time']","['B2B Marketing', 'Campaigns', 'Communication', 'Content Production', 'Creative Industries', 'Digital Marketing', 'Event Marketing', 'External Agencies', 'Market Planning', 'Marketing Analytics']"
marketing,Marketing Manager,Marriott International,"Orlando, FL","Orlando, FL",5 days ago,0,"['Full-time', 'Mid-Senior level']","['Creative Agencies', 'Gallery Management', 'Landing Pages', 'Market Planning', 'On-site Execution', 'Paid Social Media', 'Photo Gallery', 'Post-editing', 'Site Execution', 'Social Media Content Creation']"
marketing,"Assistant Manager, Marketing Development & Operations",Tarte Cosmetics,"New York, NY (Hybrid)","New York, NY",2 weeks ago,0,"['Hybrid', 'Full-time', 'Associate']","['Communication', 'Internal Communications', 'Key Accounts', 'Launches', 'Product Evolution', 'Product Launch', 'Public Relations', 'Record Of Success', 'Skilled Multi-tasker', 'Strategic Thinking']"
marketing,Senior Brand Marketing Manager,Tonal,"New York, NY (Remote)","New York, NY",Reposted 1 week ago,0,"['Remote', 'Full-time', 'Mid-Senior level']","['Brand Marketing', 'Brand Strategy', 'Business Insights', 'Campaigns', 'Consumer Behavior', 'Key Metrics', 'Key Performance Indicators', 'Market Analysis', 'Market Data', 'Marketing Strategy']"
marketing,Brand Manager,Warby Parker,"New York, NY (Hybrid)","New York, NY",Reposted 2 weeks ago,0,"['Hybrid', 'Full-time', 'Mid-Senior level']","['Brand Awareness', 'Brand Marketing', 'Campaigns', 'Communication', 'Creative Marketing', 'Direct Response Television', 'Grief Counseling', 'Integrated Brand Marketing', 'Marketing Programs', 'Marketing Strategy']"
marketing,"Paid Media Launch Manager, Paid Social, Prime Video",Prime Video & Amazon MGM Studios,"Culver City, CA","Culver City, CA",Reposted 2 weeks ago,0,"['Full-time', 'Mid-Senior level']","['Ad Tech', 'Campaign Launch', 'Digital Channels', 'Media Industries', 'Media Strategy', 'Optimization Techniques', 'Paid Media Advertising', 'Paid Social Media', 'Performance Metrics', 'Video Marketing']"
marketing,Marketing Manager,LHH,"North Carolina, United States (Remote)","North Carolina, United States",5 days ago,$45/hr - $50/hr,"['$45/hr - $50/hr', 'Remote', 'Full-time', 'Mid-Senior level']",['Microsoft Excel']
