search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
researcher,Quantitative Researcher,Albert Bow,"New York, United States (On-site)","New York, United States",Reposted 6 days ago,"$180,000/yr (from job description)","['$180K/yr', 'On-site', 'Full-time', 'Mid-Senior level']","['Capital Markets', 'Equity Trading', 'Finance', 'Financial Services', 'Python (Programming Language)', 'Quantitative Finance', 'Quantitative Research', 'Trading', 'Trading Strategies']"
researcher,Fellow,Legacy Fellowship,"Colorado, United States (On-site)","Colorado, United States",2 days ago,"Up to $125,000/yr","['Up to $125K/yr', 'On-site', 'Full-time']","['Community Development', 'Diversity', 'Education', 'Educational Leadership', 'Leadership', 'Nonprofit Organizations', 'Programmes', 'School Systems', 'Service Work', 'Skill Development', 'Training', 'Training Programs']"
researcher,Associate Researcher,"LanceSoft, Inc.","Foster City, CA (On-site)","Foster City, CA",2 weeks ago,0,"['On-site', 'Contract', 'Associate']","['Cash Application', 'Collection Maintenance', 'Enterprise Resource Planning (ERP)']"
researcher,Postdoctoral Fellow Position on Ceramic Matrix Composite Material Response in Hypersonic Flows,The University of Texas at Austin,"Austin, TX (On-site)","Austin, TX",1 month ago,"$65,000/yr - $75,000/yr","['$65K/yr - $75K/yr', 'On-site', 'Contract']","['Computational Fluid Dynamics (CFD)', 'Continuum Mechanics', 'Finite Element Analysis (FEA)', 'Heat Transfer', 'High Performance Computing (HPC)', 'Hypersonic', 'Mathematical Modeling', 'Software Development']"
researcher,Graduate Fellow,The Maryland General Assembly,"Annapolis, MD (On-site)","Annapolis, MD",1 week ago,"Up to $8,400/yr","['Up to $8,400/yr', 'On-site', 'Contract']","['Analytical Skills', 'Delegation', 'Graduate Students', 'Legislation', 'Legislative Relations', 'Statistics', 'Writing']"
researcher,"Intern, Research and Insights",LSG,"Washington, DC (On-site)","Washington, DC",1 week ago,$20/hr,"['$20/hr', 'On-site', 'Internship']","['Analytical Skills', 'Campaign Tracking', 'Message Testing', 'Public Affairs', 'Public Opinion Research', 'Public Policy', 'Qualitative Research', 'Quantitative Research', 'Strategic Communications']"
researcher,Grants Research Specialist,Global CCS Institute,"Washington, DC (Hybrid)","Washington, DC",3 days ago,0,"['Hybrid', 'Full-time']","['Carbon Management', 'Climate Change Mitigation', 'Donor Communication', 'Energy Transition', 'Fundraising', 'Grant Coordination', 'Grant Proposals', 'Interpersonal Skills', 'Public Speaking', 'Research Skills']"
researcher,"Postdoctoral Researcher, Fire Process-Atmospheric Chemical Modeling",Desert Research Institute,"Reno, NV (On-site)","Reno, NV",2 weeks ago,"Starting at $65,000/yr","['Starting at $65K/yr', 'On-site', 'Full-time']","['Atmospheric Chemistry', 'Box Cloud', 'Data Analysis', 'Fire Performance', 'Fortran', 'MATLAB', 'Physics', 'Python (Programming Language)', 'WRF', 'Wildfire']"
researcher,Associate Planner,"City of Danville, Virginia","Danville, VA (On-site)","Danville, VA",1 day ago,"$48,105.80/yr - $57,726.96/yr","['$48.1K/yr - $57.7K/yr', 'On-site', 'Full-time']","['Commercial Planning', 'Project Planning', 'Zoning']"
researcher,Operations Coordinator & Policy Researcher,MAAPS,"Stoneham, MA (Hybrid)","Stoneham, MA",4 weeks ago,"$60,000/yr - $80,000/yr","['$60K/yr - $80K/yr', 'Hybrid', 'Full-time']","['Budget Creation', 'Budget Development', 'Communication', 'Office Administration', 'Oral Communication', 'Presentations', 'Social Justice', 'Usability', 'User Requirements', 'Written Communication']"
