search_key,job_name,company_name,job_location,location,post_time,salary,others,skills
business analyst,"Business Analyst, Amazon Fresh Grocery",Amazon,"Seattle, WA","Seattle, WA",Reposted 2 weeks ago,"$66,900/yr - $143,100/yr (from job description)","['$66.9K/yr - $143.1K/yr', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Amazon QuickSight', 'Analytical Capability', 'Analytics', 'Business Insights', 'Customer Satisfaction', 'Data Analytics', 'Data Science', 'Data Visualization', 'Defining Requirements', 'Tableau', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Project Management', 'SQL']"
business analyst,Business Development Strategy Analyst,Sedulo Group,"Louisville, KY (Remote)","Louisville, KY",3 weeks ago,"Up to $60,000/yr","['Up to $60K/yr + Bonus', 'Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Attention to Detail', 'Business Development', 'Business Planning', 'Communication', 'Interpersonal Skills', 'Organization Skills', 'Presentations', 'Proposal Preparation', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Business Analysis', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Strategy Analyst Intern,Ericsson,"Plano, TX","Plano, TX",1 week ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Economics', 'Microsoft PowerPoint', 'Spreadsheets', 'Business Insights', 'Business Planning', 'Communication', 'Presentation Skills', 'Presentations', 'Problem Solving', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Finance Analyst,Digital Realty,"Boston, MA","Boston, MA",Reposted 1 week ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Budgeting', 'Budgeting & Forecasting', 'Commercial Finance', 'Corporate Finance', 'Financial Analysis', 'Investor Relations', 'Merchandise Planning', 'Quantitative Analytics', 'Statistical Analysis', 'Strategic Thinking', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Microsoft Power BI', 'Problem Solving', 'SQL', 'Tableau']"
business analyst,"Sr. Business Analyst, Market Strategy (GIS)",Capital One,"McLean, VA","McLean, VA",2 days ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Analytical Skills', 'Analytics', 'Business Analysis', 'Business Requirements', 'Communication', 'Internal/External Consulting', 'Market Research', 'Model Building', 'Problem Solving', 'SQL', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Data Visualization', 'R (Programming Language)', 'Tableau']"
business analyst,Business Analyst - Entry Level,CGI,"St Louis, MO","St Louis, MO",2 weeks ago,"$49,400/yr - $81,500/yr (from job description)","['$49.4K/yr - $81.5K/yr', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Analytical Skills', 'Assessment', 'Business Analysis', 'Business Process', 'Business Requirements', 'Communication', 'Problem Solving', 'Resource Allocation', 'User Acceptance Testing', 'User Requirements', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Strategy Analyst,"Hyundai America Technical Center, Inc. (HATCI)","Superior, MI (On-site)","Superior, MI",Reposted 1 week ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Business Initiatives', 'Business Planning', 'Business Requirements', 'Business Strategy', 'Communication', 'Data Analytics', 'Korean', 'Presentations', 'Problem Solving', 'Strategic Roadmaps', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,EHS&S Business Analyst,Compri Consulting,"San Antonio, TX (On-site)","San Antonio, TX",2 days ago,Up to $68/hr,"['Up to $68/hr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Contract', 'Associate']","['Analytical Skills', 'Business Analysis', 'Business Applications', 'Business Systems', 'Documentation', 'Energy Industry', 'Query Writing', 'Requirements Gathering', 'SQL', 'System Requirements', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Communication', 'Jira', 'Microsoft Power BI', 'Tableau']"
business analyst,Strategic Business Analyst,Greystar,"Georgia, United States (Remote)","Georgia, United States",1 week ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Project Management Software', 'Business Analysis', 'Business Case Preparation', 'Business Meetings', 'Functional Specifications', 'Gap Analysis', 'Key Performance Indicators', 'Planview', 'Project Documentation', 'Reporting & Analysis', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Strategic Business Analyst,Greystar,"Illinois, United States (Remote)","Illinois, United States",1 week ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Project Management Software', 'Business Analysis', 'Business Case Preparation', 'Business Meetings', 'Functional Specifications', 'Gap Analysis', 'Key Performance Indicators', 'Planview', 'Project Documentation', 'Reporting & Analysis', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Intern Consumer Components Business Analyst,Micron Technology,"San Jose, CA","San Jose, CA",2 weeks ago,$36.16/hr - $46.16/hr (from job description),"['$36.16/hr - $46.16/hr', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Internship']","['Data Analysis', 'Microsoft Excel', 'Business Analysis', 'Business Requirements', 'Communication', 'Computer Science', 'Opportunity Identification', 'Oral Communication', 'Problem Solving', 'Process Analysis', 'Analytical Skills', 'Leadership', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Analyst,Booz Allen Hamilton,"Seaside, CA (Remote)","Seaside, CA",1 week ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Business Analysis', 'Business Requirements', 'Business Rules', 'Clarity', 'Documentation', 'Functional Specifications', 'Technical Standards', 'User Requirements', 'User Stories', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Agile Methodologies', 'Communication', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Business Analyst,ECS,"Laughlin AFB, TX (Remote)","Laughlin AFB, TX",Reposted 1 week ago,0,"['Remote\nMatches your job preferences, workplace type is Remote.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Analytical Skills', 'Business Analysis', 'Business Requirements', 'Communication', 'Data Analytics', 'Functional Requirements', 'Interpersonal Skills', 'Problem Solving', 'Requirements Gathering', 'Test Cases', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Microsoft Power BI', 'SQL', 'Tableau']"
business analyst,"US Prime Business Analyst, US Prime",Amazon,"New York, NY","New York, NY",Reposted 3 weeks ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Attention to Detail', 'Business Analysis', 'Business Insights', 'Business Requirements', 'Communication', 'Data Analytics', 'Defining Requirements', 'Interpersonal Communication', 'Problem Solving', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL', 'Tableau']"
business analyst,Associate Business Planning Analyst,Spectrum,"Stamford, CT (On-site)","Stamford, CT",2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Associate']","['Microsoft Excel', 'Business Planning', 'Identifying Trends', 'Operating Expenses', 'Analytical Skills', 'Data Analysis', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Problem Solving', 'Project Management', 'SQL', 'Tableau']"
business analyst,Junior Salesforce Business Analyst,Insight Global,United States (Remote),United States,1 week ago,$30/hr - $45/hr,"['$30/hr - $45/hr', 'Remote\nMatches your job preferences, workplace type is Remote.', 'Contract', 'Associate']","['Salesforce.com', 'Software Testing', 'Software Testing Life Cycle (STLC)', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Agile Methodologies', 'Communication', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Economist BA or MA,EmployStats,"San Antonio, TX (On-site)","San Antonio, TX",1 day ago,"$60,000/yr - $95,000/yr","['$60K/yr - $95K/yr', 'On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.']","['Economic Research', 'Attention to Detail', 'Confidentiality', 'Development Economics', 'Expert Reports', 'Organization Skills', 'Problem Solving', 'Quantitative Analytics', 'R (Programming Language)', 'Written Communication', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Research Skills', 'SQL']"
business analyst,"Business Analyst, College of Arts & Sciences",University of Rhode Island,"Kingston, RI (On-site)","Kingston, RI",2 weeks ago,0,"['On-site\nMatches your job preferences, workplace type is On-site.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Data Analysis', 'Budget Analysis', 'Budgeting', 'Confidentiality', 'Data Analytics', 'Enrollment Management', 'Financial Systems', 'Productivity Analysis', 'Projection', 'Written Communication', 'Analytical Skills', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Agile Methodologies', 'Microsoft Power BI', 'Project Management', 'SQL', 'Tableau']"
business analyst,Business Architect Analyst - 115411,The Johns Hopkins University,"Baltimore, MD","Baltimore, MD",Reposted 2 weeks ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.', 'Mid-Senior level']","['Business Architecture', 'Communication', 'Critical Thinking', 'Documentation', 'Presentation Skills', 'Presentations', 'Prototyping', 'Stakeholder Engagement', 'Storytelling', 'Strategic Analysis', 'Analytical Skills', 'Data Analysis', 'Microsoft Excel', 'Microsoft Office', 'Agile Methodologies', 'Business Analysis', 'Problem Solving', 'Project Management', 'SQL']"
business analyst,Business Immigration Analyst (Paralegal),Fragomen,"Atlanta, GA (Hybrid)","Atlanta, GA",Reposted 2 weeks ago,0,"['Hybrid\nMatches your job preferences, workplace type is Hybrid.', 'Full-time\nMatches your job preferences, job type is Full-time.', 'Entry level']","['Client Relations', 'Client Services', 'Document Drafting', 'Employment-based Immigration', 'Global Immigration', 'Immigration', 'Immigration Law', 'Legal Document Preparation', 'Legal Writing', 'U.S. Immigration', 'Analytical Skills', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Communication', 'Customer Service', 'Problem Solving', 'SQL']"
business analyst,Strategy Analyst Intern,Ericsson,"Plano, TX","Plano, TX",1 week ago,0,"['Full-time\nMatches your job preferences, job type is Full-time.']","['Analytical Skills', 'Economics', 'Microsoft PowerPoint', 'Spreadsheets', 'Business Insights', 'Business Planning', 'Communication', 'Presentation Skills', 'Presentations', 'Problem Solving', 'Data Analysis', 'Leadership', 'Microsoft Excel', 'Microsoft Office', 'Python (Programming Language)', 'Project Management', 'SQL']"
